r,rr,length_miles,USD2004perMW
IN,WY,1092.875,1603434.0283333333
KS,AL,819.9325,1371067.0425
KS,AR,382.805,562581.7275
KS,AZ,809.45375,1352313.6075
KS,CA,1299.8525,2463911.43125
KS,CO,340.6525,498337.6925
KS,CT,1638.6399999999999,3722668.76
KS,DE,1438.44,3332798.34
KS,FL,1235.1066666666666,2314848.1733333333
KS,GA,913.9200000000001,1663572.815
KS,IA,449.795,644295.6633333333
KS,ID,1039.0116666666668,1733513.8233333332
KS,IL,603.90375,864404.1
KS,IN,714.7733333333334,1044150.7633333333
KS,KY,741.85375,1206923.16
KS,LA,696.6850000000001,1043105.72
KS,MA,1663.88,4009160.74
KS,MD,1284.5875,2905517.815
KS,ME,1755.84,4434756.26
KS,MI,878.7833333333333,1269844.4066666665
KS,MN,634.085,894185.34
KS,MO,391.2425,570279.8525
KS,MS,666.48,1010286.3
KS,MT,932.789,1375938.676
KS,NC,1120.27,2244114.9074999997
KS,ND,708.5825,1005383.9575
KS,NE,325.76500000000004,461112.4483333333
KS,NH,1649.55,3934768.27
KS,NJ,1452.18,3371869.79
KS,NM,478.97,713870.5925
KS,NV,1130.25,1943958.4025
KS,NY,1527.925,3526139.7675
KS,OH,890.13875,1429104.64875
KS,OK,206.78,292543.535
KS,OR,1312.8416666666667,2208820.2933333335
KS,PA,1261.93,2702311.24125
KS,RI,1676.5,3970803.04
KS,SC,1091.3075,2169262.1075
KS,SD,505.50249999999994,715663.35
KS,TN,708.6800000000001,1152628.15
KS,TX,564.6686363636363,896165.3572727273
KS,UT,740.6775,1206565.24
KS,VA,1312.35625,2814832.3049999997
KS,VT,1631.0,3568881.005
KS,WA,1398.39625,2347380.5825
KS,WI,698.2091666666666,1019907.5991666666
KS,WV,1011.07,1885888.4
KS,WY,578.325,856016.6675
KY,AL,525.22375,1108275.6125
KY,AR,495.16625,840909.32875
KY,AZ,1545.284375,2534034.5256250002
KY,CA,2027.2931250000001,3596920.42375
KY,CO,1054.66875,1654623.7975
KY,CT,926.9125,2923984.1325000003
KY,DE,720.2475,2282710.3825
KY,FL,827.9025,1925929.9216666666
KY,GA,345.51,892268.3575
KY,IA,573.3783333333333,921595.4075000001
KY,ID,1697.4258333333335,2744645.5466666664
KY,IL,356.1375,612662.288125
KY,IN,230.41666666666666,463077.02249999996
KY,KS,741.85375,1206923.16
KY,LA,701.9200000000001,1131671.33125
KY,MA,1020.6775,3298920.685
KY,MD,582.2112500000001,1802975.8675
KY,ME,1124.6750000000002,3760895.935
KY,MI,562.455,926540.7633333333
KY,MN,780.24,1215651.06875
KY,MO,391.76708333333335,680455.6408333334
KY,MS,488.05,889516.7275
KY,MT,1441.8515,2195704.1145
KY,NC,389.85875,1118362.2249999999
KY,ND,987.50125,1507721.68
KY,NE,818.9108333333334,1273403.625
KY,NH,1014.0675000000001,3264323.84
KY,NJ,756.035,2393551.4325
KY,NM,1190.33625,1873982.5325
KY,NV,1850.1087499999999,3086374.4362500003
KY,NY,870.0925,2715697.14
KY,OH,283.618125,747336.05375
KY,OK,742.7341666666666,1208542.9433333334
KY,OR,2007.7058333333334,3295630.4758333336
KY,PA,600.0375,1862330.309375
KY,RI,1021.4625,3243075.12
KY,SC,415.87624999999997,1165130.38375
KY,SD,918.92,1406359.75625
KY,TN,168.6525,422364.18
KY,TX,1013.2436363636364,1662725.8945454545
KY,UT,1440.65875,2297838.3175
KY,VA,573.95,1693251.740625
